id,recorded_at,step_type,strike,option_type,expiry,candle_time,open,high,low,close,raw_volume,is_interval_volume,incremental_volume,typical_price,formula,tpv_added,cum_tpv_before,cum_volume_before,vwap_before,cum_tpv_after,cum_volume_after,vwap_after
45,2026-02-19T12:05:31.276,init_candle,25650.0,CE,2026-02-24,2026-02-19 10:10:00+05:30,207.05,210.75,189.25,193.25,322205,1,322205.0,200.075,OHLC/4,64465165.375,557490577.3125,2492555.0,223.6622972461992,621955742.6875,2814760.0,220.96226416728246
46,2026-02-19T12:05:31.276,init_candle,25650.0,CE,2026-02-24,2026-02-19 10:15:00+05:30,193.45,199.0,188.0,194.0,316095,1,316095.0,193.6125,OHLC/4,61199943.1875,621955742.6875,2814760.0,220.96226416728246,683155685.875,3130855.0,218.2009980899786
47,2026-02-19T12:05:31.276,init_candle,25650.0,CE,2026-02-24,2026-02-19 10:20:00+05:30,193.0,199.0,187.85,194.0,233740,1,233740.0,193.4625,OHLC/4,45219924.75,683155685.875,3130855.0,218.2009980899786,728375610.625,3364595.0,216.48240297123428
48,2026-02-19T12:05:31.276,init_candle,25650.0,CE,2026-02-24,2026-02-19 10:25:00+05:30,194.35,195.45,182.25,191.2,360945,1,360945.0,190.8125,OHLC/4,68872817.8125,728375610.625,3364595.0,216.48240297123428,797248428.4375,3725540.0,213.995401589434
49,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 10:30:00+05:30,191.2,194.65,183.25,185.05,329355,1,329355.0,188.53750000000002,OHLC/4,62095768.31250001,797248428.4375,3725540.0,213.995401589434,859344196.75,4054895.0,211.92760768157993
50,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 10:35:00+05:30,185.05,188.8,173.6,175.2,573105,1,573105.0,180.66250000000002,OHLC/4,103538582.06250001,859344196.75,4054895.0,211.92760768157993,962882778.8125,4628000.0,208.05591590589887
51,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 10:40:00+05:30,175.2,182.75,171.1,180.0,422370,1,422370.0,177.2625,OHLC/4,74870362.125,962882778.8125,4628000.0,208.05591590589887,1037753140.9375,5050370.0,205.48061645730908
52,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 10:45:00+05:30,180.25,181.0,175.45,178.45,206895,1,206895.0,178.78750000000002,OHLC/4,36990239.81250001,1037753140.9375,5050370.0,205.48061645730908,1074743380.75,5257265.0,204.43013254039886
53,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 10:50:00+05:30,178.45,184.8,176.95,184.0,248560,1,248560.0,181.05,OHLC/4,45001788.0,1074743380.75,5257265.0,204.43013254039886,1119745168.75,5505825.0,203.37463845109497
54,2026-02-19T12:05:31.277,init_candle,25650.0,CE,2026-02-24,2026-02-19 10:55:00+05:30,184.0,188.15,177.05,185.15,325065,1,325065.0,183.5875,OHLC/4,59677870.6875,1119745168.75,5505825.0,203.37463845109497,1179423039.4375,5830890.0,202.27152963569884
